DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
CAN;BOG;2000;1011;4257363
CAN;BOG;499;4882;20117773
CAN;BOG;2885;1342;5666298
CAN;BOG;2705;542;2291855
CAN;BOG;6330;4920;20772363
CAN;BOG;297;1173;4958728
CAN;BOG;2310;23401;102652845
CAN;BOG;1870;17831;78218184
CAN;BOG;1190;4342;17939430
CAN;BOG;3042;13235;55181589
CAN;BOG;382;2819;12366126
CAN;BOG;16852;117948;517397554
CAN;BOG;438;14040;59268651
CAN;BOG;614;16071;68152063
CAN;BOG;259;5138;21761622
CAN;BOG;1140;10191;42912636
CAN;BOG;3811;30767;129618866
CAN;BOG;43;1949;7939543
CAN;BOG;119;2308;9782206
CAN;BOG;282;7934;33631714
CAN;BOG;1809;14241;57730812
CAN;BOG;444;4497;18229759
CAN;BOG;17430;2912;12249037
CAN;BOG;80054;18805;77488094
CAN;BOG;1814;5388;22118450
CAN;BOG;1336;5683;23037478
CAN;BOG;162;3895;16478226
CAN;BOG;662;2076;8415322
CAN;BOG;495;8539;37455935
CAN;BOG;3430;18672;78181944
CAN;BOG;5216;10505;44642694
CAN;BOG;9294;17711;75267549
CAN;BOG;2173;7537;30608344
CAN;BOG;2165;3493;14760218
CAN;BOG;306;1121;4550404
CAN;BOG;3800;6523;27715377
CAN;BOG;6760;2973;12635280
CAN;BOG;25684;4339;18205972
CAN;BOG;29368;25068;108110310
CAN;BOG;17600;2970;12450446
CAN;BOG;1460;1475;6252304
CAN;BOG;984;240;990927
CAN;BOG;67125;10171;44440973
CAN;BOG;113775;15418;66408608
CAN;BOG;2720;5888;25668147
CAN;BOG;11532;70366;299036496
CAN;BOG;8328;2771;11766152
CAN;BOG;10751;1959;7942532
CAN;BOG;90122;12834;54187443
CAN;BOG;163420;20872;88144854
CAN;BOG;35890;8560;36423747
CAN;BOG;64440;12280;51903871
CAN;BOG;7041;3616;15244343
CAN;BOG;4190;798;3373457
CAN;BOG;840;4572;19428552
CAN;BOG;6000;1820;7499528
CAN;BOG;525;388;1645971
CAN;BOG;528;2680;11395601
CAN;BOG;605;3195;13231869
CAN;BOG;15198;4552;18494579
CAN;BOG;48600;7165;31235100
CAN;BOG;5750;1783;7504234
CAN;BOG;7940;884;3876053
CAN;BOG;3065;12909;54613791
CAN;BOG;523;1994;8388920
CAN;BOG;1217;4035;17042858
CAN;BOG;3000;555;2253761
CAN;BOG;22910;3983;16254422
CAN;BOG;31312;14983;62424435
CAN;BOG;1700;678;2910672
CAN;BOG;8730;1231;5245416
CAN;BOG;16975;2292;9694698
CAN;BOG;960;163;715903
CAN;BOG;17309;5601;23726555
CAN;BOG;1276;627;2640226
CAN;BOG;14433;7860;33168203
CAN;BOG;47109;224057;943978298
CAN;BOG;688;3933;16648829
CAN;BOG;131;822;3471720
CAN;BOG;2741;10603;43188912
CAN;BOG;94;796;3360689
CAN;BOG;1429;5332;22532048
CAN;BOG;233;1036;4366018
CAN;BOG;1015;7438;31608264
CAN;BOG;1466;51079;214608228
CAN;BOG;80;1480;6098518
CAN;BOG;370;8610;35478538
CAN;BOG;518;3260;13502097
CAN;BOG;343;1639;6835922
CAN;BOG;1824;5834;24447458
CAN;BOG;16775;7016;29743939
CAN;BOG;597;2539;10791841
CAN;BOG;163656;43835;184916318
CAN;BOG;113500;16280;69103672
CAN;BOG;7020;1778;7801236
CAN;BOG;20175;6886;30207637
CAN;BOG;153707;40570;171609755
CAN;BOG;279720;36670;155865968
CAN;BOG;444585;64224;272802978
CAN;BOG;6800;1146;4799402
CAN;BOG;34950;9688;42281117
CAN;BOG;900;144;609404
CAN;BOG;8550;1470;6220996
CAN;BOG;13100;2319;9810785
CAN;BOG;1657;390;1712684
CAN;BOG;11100;3027;12810173
CAN;BOG;7710;1636;6891839
CAN;BOG;2420;952;4174609
CAN;BOG;2660;2209;9342323
CAN;BOG;20650;3308;13996127
CAN;BOG;425;2428;10309126
CAN;BOG;413;2329;9853556
CAN;BOG;49250;13670;56326815
CAN;BOG;78756;12721;54770880
CAN;BOG;103031;16881;70259668
CAN;BOG;24303;8339;36323947
CAN;BOG;211643;62659;265088254
CAN;BOG;2700;513;2079579
CAN;BOG;22076;4087;17407858
CAN;BOG;85500;6015;24383366
CAN;BOG;44890;7606;32606932
CAN;BOG;3166;6613;29009684
CAN;BOG;185161;63914;272820432
CAN;BOG;342;308;1299559
CAN;BOG;130273;129204;560995341
CAN;BOG;50840;21071;85417223
CAN;BOG;642;4390;18235292
CAN;BOG;1440;4834;20239588
CAN;BOG;402;3785;16013874
CAN;BOG;680;3164;13879392
CAN;BOG;368;1464;6422070
CAN;BOG;32500;4648;20260312
CAN;BOG;2675;643;2648528
CAN;BOG;11000;2888;12589947
CAN;BOG;7425;1782;7535088
CAN;BOG;97600;15714;68501868
CAN;BOG;546;856;3626760
CAN;BOG;994;1569;6838155
CAN;BOG;11502;12448;52765205
CAN;BOG;41883;9556;40499096
CAN;BOG;6998;3447;14611316
CAN;BOG;15172;3845;16163672
CAN;BOG;69675;9826;41409982
CAN;BOG;135400;20424;86590662
CAN;BOG;13000;1950;8192984
CAN;BOG;15691;11369;47843317
CAN;BOG;85409;26759;114691955
CAN;BOG;5950;3153;13831358
CAN;BOG;10640;4082;17908101
CAN;BOG;4896;783;3311568
CAN;BOG;32100;4305;17871096
CAN;BOG;3022;8590;36690137
CAN;BOG;454;312;1285633
CAN;BOG;550;38;161404
CAN;BOG;1560;438;1780105
CAN;BOG;6584;1652;6940928
CAN;BOG;45560;7042;29731326
CAN;BOG;546000;73878;312395608
CAN;BOG;14249;10962;46138847
CAN;BOG;23285;3350;14127488
CAN;BOG;6500;410;1703525
CAN;BOG;2025;1040;4252661
CAN;BOG;2566;10531;44344127
CAN;BOG;99225;15045;63926545
CAN;BOG;1850;514;2136886
CAN;BOG;27945;6753;28664874
CAN;BOG;1825;2555;10858009
CAN;BOG;1542;2792;11863490
CAN;BOG;6445;12209;51882797
CAN;BOG;631;1242;5276865
CAN;BOG;33160;4642;19728854
CAN;BOG;6050;1270;5399257
CAN;BOG;2480;1042;4426498
CAN;BOG;11205;5278;22428907
CAN;BOG;2109;1593;6753516
CAN;BOG;379;9396;39828235
CAN;BOG;7490;1198;5069963
CAN;BOG;60765;8993;38092302
CAN;BOG;8820;4527;19069988
CAN;BOG;22080;6631;27553069
CAN;BOG;6898;1147;5032376
CAN;BOG;159998;43443;182049070
CAN;BOG;24500;2372;10399854
CAN;BOG;49750;4176;18159803
CAN;BOG;43980;6128;26245108
CAN;BOG;4880;1511;6372985
CAN;BOG;1497;10065;43033945
CAN;BOG;7166;46493;202067144
CAN;BOG;4084;26362;113409685
CAN;BOG;453;1216;5334179
CAN;BOG;139679;600489;2530886895
CAN;BOG;7675;46325;194811501
CAN;BOG;1918;8314;36403776
CAN;BOG;16062;68653;289242411
CAN;BOG;1474;5265;22817068
CAN;BOG;4032;18378;78699283
CAN;BOG;7843;47255;201608787
CAN;BOG;1255;5560;23016949
CAN;BOG;13364;49006;210334296
CAN;BOG;2166;9036;38983341
CAN;BOG;63548;256410;1111564067
CAN;BOG;558;5916;24977504
CAN;BOG;476;4888;20749639
CAN;BOG;419;3812;16340961
CAN;BOG;2852;24856;106351095
CAN;BOG;12300;3452;15046468
CAN;BOG;179158;24320;106022308
CAN;BOG;136632;19071;83138640
CAN;BOG;30800;5234;21750583
CAN;BOG;1018;1797;7833755
CAN;BOG;20180;5131;21198133
CAN;BOG;6932;7109;29430653
CAN;BOG;745005;185070;785513199
CAN;BOG;32245;4192;18273951
CAN;BOG;9303;14215;60405734
CAN;BOG;113900;16820;73326416
CAN;BOG;27835;72650;308653930
CAN;BOG;41039;72358;307176374
CAN;BOG;10449;31445;133561616
CAN;BOG;9677;53224;226184440
CAN;BOG;975;2984;12601211
CAN;BOG;974;2309;9811473
CAN;BOG;335190;49874;211789870
CAN;BOG;799;176;747014
CAN;BOG;313153;752355;3195943199
CAN;BOG;1086;14484;61146011
CAN;BOG;7232;2278;9655083
CAN;BOG;201815;51553;216670258
CAN;BOG;436524;60056;254020009
CAN;BOG;863315;116543;494276920
CAN;BOG;19260;3229;13566740
CAN;BOG;167940;37735;158764638
CAN;BOG;57831;54148;227802365
CAN;BOG;391100;29579;128944992
CAN;BOG;238806;49953;208016610
CAN;BOG;17750;1462;6167499
CAN;BOG;269260;25478;106757258
CAN;BOG;124105;19356;81783559
CAN;BOG;59966;64528;270192630
CAN;BOG;113228;636078;2645452307
CAN;BOG;3442;22958;94118645
CAN;BOG;3321;20095;82582751
CAN;BOG;1307;8632;34993840
CAN;BOG;5320;33991;140450188
CAN;BOG;1319;8214;34016339
CAN;BOG;322;1037;4547650
CAN;BOG;4403;13708;59710722
CAN;BOG;21532;2871;12200749
CAN;BOG;1184;1055752;4565714210
CAN;BOG;1923;6419;27051159
CAN;BOG;2114;5236;22106863
CAN;BOG;3795;15020;63776491
CAN;BOG;5174;20416;86812795
CAN;BOG;450210;8463;35767010
COL;BOG;63;2799;11894311
COL;BOG;1710;4519;19101546
COL;BOG;141;3458;14600832
COL;BOG;257;9206;38931102
COL;BOG;398;5343;22497259
COL;BOG;639;17017;71635690
COL;BOG;353;6770;28560266
COL;BOG;394;8856;37436444
COL;BOG;258;3264;13728589
COL;BOG;171;2275;9537609
COL;BOG;118;1000;4184307
COL;BOG;3966;10650;44996760
COL;BOG;116;5850;24449047
COL;BOG;373;11378;48091650
COL;BOG;139;1389;5928220
COL;BOG;424;10692;45101059
COL;BOG;223;14278;59712370
COL;BOG;449;10032;42394374
COL;BOG;88;869;3674666
COL;BOG;679;16794;71062032
COL;BOG;2008;24781;104556639
COL;BOG;894;18102;75672195
COL;BOG;1052;16257;68201485
COL;BOG;106;1854;7789144
COL;BOG;1163;24114;102056880
COL;BOG;571;12542;53144200
COL;BOG;133;1311;5583127
COL;BOG;539;10038;41238606
COL;BOG;1144;21524;87251509
COL;BOG;195;2196;8901773
COL;BOG;114;3869;15684200
COL;BOG;407;7533;31432975
COL;BOG;725;6475;27475236
COL;BOG;333;3501;14217006
COL;BOG;653;10454;45857705
COL;BOG;1719;29398;128959689
KOR;BOG;28290;19732;82817282
KOR;BOG;303;2700;11843982
KOR;BOG;29820;18476;78265976
KOR;BOG;1607;15717;66529937
KOR;BOG;820;95;399370
KOR;BOG;1110;763;3345706
KOR;BOG;24400;17892;75706730
KOR;BOG;55590;36992;156769907
KOR;BOG;6680;4079;17269655
KOR;BOG;482;16277;67409269
KOR;BOG;7320;2870;12590592
KOR;BOG;162600;29211;125074957
KOR;BOG;20920;9237;38935839
KOR;BOG;36300;12664;55096736
KOR;BOG;35200;5987;24322288
KOR;BOG;102700;19771;83685027
KOR;BOG;33465;13873;59048830
KOR;BOG;87300;16509;69648137
KOR;BOG;9220;1930;8130125
KOR;BOG;7620;3272;14350958
KOR;BOG;27300;5187;22612208
KOR;BOG;5980;1380;6055345
KOR;BOG;9650;3840;15901020
KOR;BOG;17100;3249;13455506
KOR;BOG;11622;5819;24668671
KOR;BOG;13600;5288;21436283
KOR;BOG;7800;1560;6571500
KOR;BOG;1050;16865;73982776
KOR;BOG;620;68;286747
KOR;BOG;45640;19625;86060277
KOR;BOG;33900;6441;28078895
KOR;BOG;53700;10203;44478958
KOR;BOG;4520;1124;4930606
KOR;BOG;10040;4802;20315389
KOR;BOG;1100;7656;32531406
KOR;BOG;9450;3419;14895060
KOR;BOG;55200;10707;45428942
KOR;BOG;15696;6076;25817386
KOR;BOG;96600;17556;74655076
KOR;BOG;440;92;405327
KOR;BOG;3930;2262;9528801
KOR;BOG;76;76;323366
KOR;BOG;283;283;1191264
KOR;BOG;526;526;2212917
KOR;BOG;49850;19803;82189110
KOR;BOG;228600;43320;179406748
KOR;BOG;4500;852;3620148
KOR;BOG;83900;12999;53768879
KOR;BOG;31245;7499;31667949
